country_code,country,year,gdp_growth,gdp_per_capita_usd,inflation,unemployment,current_account_gdp,reserves_months_imports,official_exchange_rate,trade_gdp,fdi_inflows_gdp,external_debt_gni
ARG,Argentina,2000,-0.78899893905691,7637.01489203628,,15.0,-3.15992237703676,6.28322204626375,0.9995,22.6224447777343,3.66579059535379,54.2417099417586
ARG,Argentina,2001,-4.40883968258557,7141.47507662826,,17.32,-1.40694788500181,4.29371406025342,0.9995,21.8522554515453,0.806164134759348,58.4932935172091
ARG,Argentina,2002,-10.8944848285903,2569.69963519124,,19.59,8.97078467784247,5.27543170673442,3.06325666666667,41.7527243585642,2.19895819502207,159.890183546743
ARG,Argentina,2003,8.83704079576924,3320.47775133903,,15.36,6.37990680177011,5.70013745215418,2.90062916666667,40.6447480311085,1.29481086883944,133.474955613907
ARG,Argentina,2004,9.02957330068152,4242.02099089422,,13.522,1.95058324319273,5.77837779911896,2.92330081890332,40.692646108947,2.5050175164097,114.783966038451
ARG,Argentina,2005,8.85165992013437,5067.65342293276,,11.506,2.65363142179073,7.26029776298213,2.9036575,40.5512709706238,2.64935441452167,74.2469415660219
ARG,Argentina,2006,8.04715150043027,5869.38028970204,,10.078,2.79449564264943,7.02897239370493,3.05431333333333,40.4334798719151,2.38106854489628,52.8779757006235
ARG,Argentina,2007,9.00765087504757,7185.25155147027,,8.47,2.1036160391819,8.17153428618646,3.09564884920635,40.945170618571,2.25129423568361,43.1501917496034
ARG,Argentina,2008,4.05723310346406,8944.1102657357,,7.837,1.49940141614234,6.71425831138327,3.14416455988456,40.4026733790382,2.68990096507093,36.7967786223547
ARG,Argentina,2009,-5.91852507634947,8150.23527028221,,8.645,2.1785669619099,9.06749992875243,3.71010683052328,34.0571269054879,1.20643922647566,41.4241623275672
ARG,Argentina,2010,10.1253981561002,10260.1313108254,,7.714,-0.383118699737133,7.27697103967374,3.8962951544705,34.9710132635696,2.67516171886535,30.9491301873404
ARG,Argentina,2011,6.00395169280579,12704.2831819684,,7.18,-1.00728084144866,5.20195157798821,4.11013957621326,35.2061549999644,2.04465997872008,27.7441780087921
ARG,Argentina,2012,-1.0264204544321,12949.717486654,,7.217,-0.39159512386959,5.21829041219894,4.53693436018746,30.5265423717108,2.80667189982932,26.2396878854826
ARG,Argentina,2013,2.40532378079436,12963.675773326,,7.1,-2.37749566620574,3.46015205462158,5.45935266465704,29.3339290021037,1.77920553648531,27.8097452222931
ARG,Argentina,2014,-2.51261532081394,12233.1444119186,,7.268,-1.74400211981355,3.96299919336678,8.07527599281334,28.4067936452275,0.962406650325519,29.8319023900009
